New column 0,New column 1,New column 2
Nikhil M.,Reviewed in India on 29 December 2022,"Qualitywise the plastic body used is fragile (like you get a feel that it might break). Although they have provided a paper for instructions with images on how to set it up - it's very difficult for a new person to understand and then install it. A video link might help or you need to search on youtube. Print quality wise also - it's not the best, but not worst also - it's 4.8/5. I feel it's a bit overpriced as well.

I connected to my Windows 10 laptop, it asked me to download HP software from Microsoft Windows Store and a few next-next-next things, setup was quick. You just sign-in with your email address registered to HP.

It's a 5/5 product but will give 4 because I feel it's a bit overpriced and paper might also get jammed sometimes.

Edit (31/01/2023) : The printer sometimes disconnects after 1 print and the pc/laptop stops detecting the printer."
Pradeep,Reviewed in India on 3 April 2023,Product is ok..it's only for home uses and small official works.delivery very good.print quality ok
Ajay Yadav,Reviewed in India on 20 March 2023,Its printing really slow when i feed a document to print even in black and white
C. Arivazhagan,Reviewed in India on 23 March 2023,Easy to install and print
MOHITH,Reviewed in India on 19 March 2023,Very slow
Sagar,Reviewed in India on 8 March 2023,"It is bad choice
No value of money"
BILAS D,Reviewed in India on 3 March 2023,Very good product for normal use.
Shilbhadra Neogi,Reviewed in India on 9 March 2023,Very basic AIO printer.
Kam suantak,Reviewed in India on 27 February 2023,Warranty card missing
Thambiraj,Reviewed in India on 1 March 2023,Superb
Amar Jadhav,Reviewed in India on 21 February 2023,"1. Installation was easy
2.Print quality is also excellent
3.But takes time to print"
Manish Shukla,Reviewed in India on 10 February 2023,Old cartridge comes. Only 15 pages printed.
Gopesh Kumar Jha,Reviewed in India on 24 May 2023,"Only printer is cost efficient and its cartridges are very expensive and if you fill colour in its empty cartridge it's supported app will not show you ink level and after that your print quality also decreases and miss many lines to print and forces you to to buy new cartridges
You buy this printer because of it's low price and get's robbed by buying cartridges for it buy some expensive printer in which a saparate slot is given to fill colour not to insert cartridge so don’t buy it just because of it's low price as it's printing cost is very expensive."
Amazon Customer,Reviewed in India on 21 February 2023,As per it is good
K.s.jakhar,Reviewed in India on 3 May 2023,It is not taking paper easily for printing. It has problem in grabbing paper for printing. It's roller that grabs paper isn't properly fitted.
Akshay Gawari,Reviewed in India on 14 February 2023,Ok
Hitesh,Reviewed in India on 24 May 2023,Good
Balakrishna Sharma,Reviewed in India on 13 January 2023,Printer is good and useful. Supplier sent a damaged used printer without sealed cartridge. On complaint and with discussion got rrplscement. That is with original package. Suppliers are trying to get away with sending damaged and used items. We need to spend lot of time and energy in getting replacement. There needs to be check on this.
kuldeep,Reviewed in India on 23 May 2023,Good👍
MUTHURAMA S.,Reviewed in India on 26 December 2022,"I bought this in 2020 for printing kids worksheets and assignments. It worked great only for few prints.
After that, we changed the cartridge, that also worked for only one month. Should have gone a high end printer instead of this."
Sumit Sonal,Reviewed in India on 2 November 2022,"While the product is good and does what it says, it just doesn't work with Mac. If you are a Windows user, it is a great purchase for your home office or your kid's homework.
Mac Users: There seems to be no workaround to get this working. It will recognize the device plugged into the USB but will not accept a print command."
Anbharasu,Reviewed in India on 25 October 2022,I’m using it for home printing purpose for school activities for my kids. A decent one and does it’s job well writing this review after a week working with it. I used it as scanner so far. Have to connect with my computer to check its print function. Hoping to be good. For less than rs.4k and refills costing around 600-700 for black and white and 700-800 for colour cartridges I feel it is one good inkjet printer with basic functions.
Yuvaraj Anand,Reviewed in India on 22 November 2022,"I dont know why HP has given such a Poor scan in this Model, even when we used max dpi , scan images is not at all coming clear, Even I have tried all the possible ways - but not happy with scanner"
sanjay K.,Reviewed in India on 7 May 2023,Cartage finished in 30 pages
PD,Reviewed in India on 30 December 2020,"I have used HP printer in past but that was long time ago and now this is my 2nd HP printer. Overall the product is good at this price tag, but I am sure some improvements can be done to enhance user experience. Fit and finish of product is good and is light weight.
1) Installation software needs to be downloaded from HP website and installation is smooth. Software is not very user friendly though
2) I faced issue with my 1st print as after installation of software it was just not printing. But later is started printing after a reboot and about 15 mins
3) Print quality is ok and bit slow, as we expect from a Deskjet printer. (Please don't compare print quality with Laser printer)
4) Scanning is good, scans perfectly but its slow (specially with high DPI). I faced one issue with the software wrt scanning. I can save a PDF with multiple pages in 200 DPI but it does not work with 600 DPI. Maybe HP can provide a resolution or improve the software
5) Last but not the least, Ink cartridges. I am sure these small cartridges with the printer won't even last 100 pages. Most of my printing is black, but even a black one will not last 100 pages. So buying new cartridges at 600-800 per piece is a rip off. Better deal with refilling to have economical printing

Overall its a good product."
Rajendra Mule,Reviewed in India on 17 August 2020,"It's been about a month that I'm using the printer and have printed about 140 pages. My reviews are based on the usage in this short period. Hope this helps.

Use: Printer is good for normal home use.

Pages/cartridge: With the cartridges supplied, one can print just about 40 pages (not 100 as mentioned/advertised).

Cost of printing: If cartridges are replaced each time, the cost of printing is too high (something like 19/- per page for b/w). Simply refilling the ink is far economical.

Printing quality: On printing quality, it's better than average. As mentioned, good for home use. Print in draft mode. For pages <= 70 GSM, printing back-back is not advisable. It's traces are visible on the rear page as well.

Printing speed: It prints slightly slow, this being an ink-jet. That's fine and expected.

Features: Prints, Scans and Copies. This is kind-of basic model, so no features such as automatic double-side printing. That's known and is fine. It goes well when more than one page is placed in the feeder. With a single page, it needs to be inserted in the slot till the end below, which isn't easy...and the page usually get's stuck while printing. It's advised in the manual to use multiple pages in the feeder (manual is not a part of the product...to be searched/downloaded online).

Handle with care: Parts are delicate, need to handle with care (especially while removing cartridges to refill).

Overall: At this price, it's good to have."
Amazon Customer,Reviewed in India on 11 May 2023,"The printer is so slow. HP has promised it will print 400 pages, it printed hardly 40 pages and the cartridge is gone. I got the new one for Rs. 1500/-, the cartridge promised for 120 pages for both color and black-white, but it hardly printed 40 pages and it has stopped working. Can't believe HP will be doing this promise and fail to deliver the product to their said expectations."
s,Reviewed in India on 31 July 2022,"I ordered this machine to copy, print, and scan to save images on my PC. I wanted to help my 89-year mother during my three-week stay in India. Copy& print? no problem! Scanning the document and saving the to PC using HP smart? It was a nightmare! I could not get a single HP tech support person on the phone/Whatsapp /online chat to help. The directions on the brochure were ridiculous. I needed to turn in important financial documents before the deadline and I could not. I called USA HP support and begged them to help me figure it out. Though the agent was sympathetic, he refused to intervene claiming it was 'HP India's responsibility. I was in tears. I couldn't help my poor mother who is living in a small town and c was counting on me to sort things out for her.
I just don't understand why to sell a product that you can't support esp. for a global conglomerate such as HP. Just disappointed!"
mani,Reviewed in India on 10 April 2023,"i made this purchased during covid time, till now i am using worth paying"
Vicky K,Reviewed in India on 18 August 2021,"This printer is amazing. It does high-quality scans, copies documents significantly faster than some of the older devices, and the print quality is impressive.

But.

The cartridge runs out before you even know it. I understand that this is a problem not only with HP printers but most of the printers available in the market, but, HP to follow the same razor and blade module is so not okay.

The cartridge runs out extremely fast, and you have to change it before you have even got a chance to play with your prints. The cartridges are around Rs. 800 each, so I don't think if you print regularly, this is the right one for you. But if you are like me, who only uses the printer for home purposes, then yeah, go for it. This printer is amazing and does what you need it to do.

All in all, the decision is up to you. The cartridge runs out fast, but the printer is super convenient, and the prints it gives are of high quality.

Cheerio,
V."
surender mehra,Reviewed in India on 16 January 2023,Use it for documents and I'd cards in color print
g.subramaniam,Reviewed in India on 14 June 2022,we were under the impression that it is compatable with windows 11 but it is not true if you have installed windows 11 than you cannot use this printer for scanning as driver not available we feel in way cheated as this information was never available while making study of this printer also we are not an IT expert to check for this issues please first check OS in your laptop and than only decide to buy printer now we need to wait for many months before driver for scanning will be made available so we are stuck with this printer which can be used for printing only
Deep shikha,Reviewed in India on 29 October 2021,"I bought it this year in Jan, and I am regretting it...so I am writing a review to stop others from making the same mistake. Don't get fooled by other reviews or 3 star rating, you are just paying for a plastic box that's it! If you are lucky and it is printing then guess what it will print only 10-15 pages with the official HP ink cartridge. So if you take a print from a shop you will have a much better quality and still save your money! The worst part is customer support, the numbers mentioned on documents and the box in which it came, DO NOT EXISTS anymore! I tried getting the customer care from the vendors, even they are not able to reach HP customer support. Their website is designed to help all other customer then printers...it is complicated to find service details other than software tutorials for printer...there are limited authorized service center in Delhi for printer and guess what where there are...on the edges of the Delhi...you have to carry this whole damn box all the way to NCR. I am an IT guy I usually fix printer issues on my own like connectivity , driver missing etc...but this printer is evil at it's core! All the ink levels are full, latest drivers are installed and still it will print a blank page every damn time! Why? How? And which machine takes hours to WAKE UP! I literally have to wait for hours before it gets ready to print a single damn page.

PLEASE DO NOT BUY THIS!"
T.Nuthan,Reviewed in India on 28 November 2022,Super printer but ink will get empty fast and depend on your usage if you are a heavy user I don't recommand this printer if you are light user I recommend this printer... Print quality is super
Nitesh Singh,Reviewed in India on 25 April 2023,30-40 printout approx in 1 cartage
Amazon Customer,Reviewed in India on 24 April 2023,very easy to use printer for home service
chandan,Reviewed in India on 28 April 2023,Awesome product
Amazon Customer,Reviewed in India on 5 April 2023,Very worst. Don't buy this
Mohan,Reviewed in India on 22 November 2022,"I'm using with mobile for printing only, and also easy to use Xerox. But some times at printing getting error & stopped printing trouble. And getting print was slow. Best budget product."
Nitesh Kumar,Reviewed in India on 8 December 2022,Very poor quality after 1 month used printer print only 7-10 print on 1 refile. Also color print not working or not recognized.
PAWAN KUMAR SHARMA,Reviewed in India on 6 December 2022,Good quality
Simran r.,Reviewed in India on 30 November 2022,The paper tray was broken.
Krishnakumar,Reviewed in India on 29 October 2022,"With less than a dozen sheets printed, the Printer is malfunctioning. Please suggest whom to contact for resolving this issue.
Thanks,
Krishnakumar"
Mehmood,Reviewed in India on 16 February 2023,This product is in budget but it's practically useless you can easily do photocopies but printout speeds are horrible it takes minimum 15 to 20 minutes for a colour printout via laptop or smartphone
Hridayanshdutta,Reviewed in India on 29 June 2022,"This is a great product for Normal paper, does 600 dpi in seconds, takes like 10 minutes to print something in 1200 dpi. Don't buy this if you wanna print on glossy paper, it ruins the paper and simply is a waste of ink. It dosent print correctly on glossy pages and messes up color. For the price of 3000, it's a good printer for normal paper. Nothing else."
Md. Khalilur Rahman,Reviewed in India on 19 May 2023,"It can print only 60 to 70 pages in total in its lifetime. Then the cartridge will not work, and you have to buy that cost equal to the printer price. Buying this is wasting money."
N praneeth,Reviewed in India on 28 December 2022,Very useful
Manindra Mishra,Reviewed in India on 22 November 2022,Ok
bhaskarbbp,Reviewed in India on 2 February 2023,"The time taken to print is very long and have lot of issues in printing. The tray inserting A4 size papers is not user friendly.
It's taking ages for a single print.

Not satisfied!"
Ravi Gogineni,Reviewed in India on 12 December 2022,"Does the job, but it's damn slow. Have to wait for ages"
Mohan,Reviewed in India on 29 November 2022,Easy to install and use but less pages per cartridge which may add up cost.
Shantanu,Reviewed in India on 18 October 2020,"Build quality is great, the design and colour looks great, printing cost is little high as it Is an inkjet printer so if you need a printer like for occasional use like in project time then you should go for it, else go for laser If only blank and white print is needed, else inktank, also keep a track of this printers price, as it keeps going up and down when i ordered it costed me around 3.9k but somedays later it was 3.7k so keep checking if you can wait for like 1 week or more then order from the official hp site, there you'll get it for more reasonable price, also there was no external packaging done on this printer which is bad, what if it got damaged during shipping, it would result in the seller losing money and also I'll end up losing my time and maybe money if i found the damage later on like internal or if i don't have a recording of me unboxing it and found it damaged, something like that."
Manoj Krishnan,Reviewed in India on 4 February 2018,"
HP DeskJet 2131 All-in-One Printer is a simple and reasonably priced product of HP. It is a good choice for personal use if you don't need bulk printing.

Here are my observations:

1. The product was shipped to me on time without any hassle and follow-ups.

2. The packaging was impressive, and on unboxing, it did not give me a shock. The product was brand new, without any damage.

3. Its assembling is little tedious. I would advise you to go through the youtube videos and the manual carefully before start assembling.

4. As my laptop does not have a CD driver, I downloaded the printer driver from the internet. I checked printing of a color page and it worked perfectly.

5. But the cartridges are small, and it consumes a lot of ink, so printing would be damn costly for those whose intend to use it for bulk printing.

6. I liked the white color of this printer. It gives an elegant look.

7. Another nice feature of this printer is its all in one [printing, scanning, and photocopy] facility. It makes it a good choice.

8. The product is not robust. You can realize it while assembling the printer, so if you plan to purchase it, make sure you will have to handle it carefully.

9. There is no wi-fi support, and it is a big limitation with this product.

Overall verdict: Reasonably priced and a good printer for use at home."
Srikrishna k,Reviewed in India on 30 January 2023,"I purchased device on 3-9-22but it is not working as counterfeit/compatible cartridges supplied with printer, eventhough refilled with recommended ink.When contacted hp world they won't entertain online purchases. What I have to do?"
Sumanpreet Kaur,Reviewed in India on 12 March 2023,"The printer does not work properly. The first day it worked well. I don't need it much, so I was somehow assured that it would work well. But after that when I am trying to print, it is not taking paper and constantly showing empty paper tray, when in fact I have tried inserting different number of papers also like 20, 25, 40. It is not taking paper at all. Edit: I contacted HP support number given here and in just one day, their engineer came to my home and resolved the issue in no time. Thanks a lot."
abhishek,Reviewed in India on 17 March 2023,"To seller : Product packaging was too good, price was much reasonable.
About Product : i have taken some documents colour, black& white prints and copies. Print quality was awesom awesome. Easy to use. Happy customer!!!"
franky,Reviewed in India on 21 September 2022,"printing of one page takes nearly 2 minutes, even if it is just a few lines. otherwise the quality of the print is excellent"
Shyamal Banerjee,Reviewed in India on 13 July 2022,"The original cartridge could be refilled with local only twice and approx yield is 70-80 pages.
I had to buy XL cartridge with HP ink which costed 1149,which is estimated to give 240 page yield i.e.5 rupees per page approx.
Also,paper roller doesn't pull paper at first go after 2 months."
Always Indian,Reviewed in India on 21 April 2021,"If you know how to remove a few pieces of sticky tape and follow pictorial illustrations to slot in the ink cartridges, the initial setup is easy. What is not so easy is getting HP's Smart App to work. It's an utterly senseless interface with ambiguous prompts and instructions. Once you have figured out that you don't need to 'add' the already installed printer, then you run into a regularly freezing app. Thank goodness for Ctrl-Alt-Del. HP offers no advice or good solutions for their Smart App's freezing problem. There is a workaround though, which I finally discovered after trying umpteen number of things. Terrible terrible 'Not-Smart' app. Print quality is OK. Scan quality is poor."
Sweet KP,Reviewed in India on 12 December 2022,Printer is ok but it's not good for black and color ink because of cartridge is small and one cartridge to get a print to 100 paper only so it's hurting some budget people's because of cartridge price is 800 so buying any printer that time check all details and buy your best product
fatheen,Reviewed in India on 9 May 2020,"Printer is ok for those who are economically well to face heavy maintenance cost. I could print only 80 pages (b/w) with the provided cartridge. I realised that it is not meant for me, so i returned it immediately.

Pros
1. Comparatively cheap cost printer with AIO features
2. Good printing speed with medium quality for home purpose
3. Quality scanning and functioning

Cons
1. Heavy maintenance cost (especially for cartridges, you have to pay about Rs. 769/- per cartridge)
2. Colour fades after few days
3. Colour print is not up to the mark
4. Ink refilling is an option but risky (lasts maximum 3 times per cartridge)

Suggestion
1. Better go for ink tank printers, even though initial cost is more - profitable in long run (if you print atleast 300 pages per month, then compulsorily go for ink tank)
2. Take care in case you plan to refill the ink, it may damage your printer as well as void your warranty"
Vetry,Reviewed in India on 1 December 2022,No
Raviraj,Reviewed in India on 22 September 2022,Scanner is nice but printing is costly frequently to change refill and some time difficulty getting matching refill
MAHESH T,Reviewed in India on 6 November 2022,"Got it for my kid. Happy kid. Can print, scan and copy."
sai reddy,Reviewed in India on 23 March 2022,Printer is very good for home use. It is light and is easy to set up and operate. ONLY DRAWBACK IS THE COST OF COMPATIBLE CARTRIDGE HP 803 which is very expensive. A combo of black and multicolor HP 803 cartridges will cost you around *1500/- (for 2 cartridges) which is more than half of the cost of this printer. Hence i didn't give 5 star rating.
Feri,Reviewed in India on 18 August 2021,"Print quality is satisfactory, as this was for casual home use. Setup is easy as only the cartridges provided need to be installed. Need the HP Smart App on laptop for using the printer. The printer is recognized immediately on connection. The app shows how much of the cartridge colour/black is left. Taken about 15 black and white prints and the cartridge capacity has come to 50%. That was expected from the setup cartridge provided and hence one star less as more life would be better, hope new cartridge lasts more. I would recommend this for casual home use. Direct printing from phone would need an OTG dongle on phone and the HP Printer Service app from Playstore."
subhash ranjan,Reviewed in India on 4 February 2023,Printer to badhiya hai par kartge ka problem bahut hai
Siddharth C.,Reviewed in India on 17 April 2023, Please don't buy this because the cartridges only work upto 30-40 pages only after that you have to buy new cartridges. Which is very expensive one cartridges is about 800 rs both will cost 1600 rs. It means you have to purchase both cartridge of 1600 rs only after print of 30-40 pages only. Please buy ink tank printer not this.
Sanjoy Das,Reviewed in India on 31 January 2022,I am using HP Printer for last 15 years and prior to buying this printer I was using HP 1510 Deskjet All in One Printer. I found that this printer is quite intelligent as it understand more formats (like if you take screenshots and paste on the Word Page it seamlessly prints that including same quality in Color) etc. It also intelligently sets the color shade better than the previous one. But the Print speed is very slows as compared to the 1500 series printers.
Dipak K.,Reviewed in India on 20 October 2020,"Giving review after 3 months view..

Never ever in ur life ,even if by mistake dont think about buying this inkjet or deskjet type printers of Hp.Hp is chinese.and we know china and chinamall.
I dont know about ink tank printers but yes this type of inkjet is a total waste of ur money and time.

My hp 2131 printer lasted around 3 months only with so many messy things ,
Printed 40 pictures with the demo catridges.
Next 300 pages with refilled ink of good quality.
Now both of color and black catrige doesnt recognizing.

New Catridges cost 1900 around. That is insane amount compared to printer cost.
Hp suggests always replace catridges after single use(40 photo printing-1900rupees).they wont even listen or attempt to repair if there is other faults otherthan catridge unless u buy new catridges of 1900.

Then why the hell will someone buy this costly catridge rather not throwing the machine in first place.we do not have money thats why we came to this cheap price.

You may try inktankbut again that is also fitted with so many chip components and i doubt hp set some type of firmware there too,but laserjet is defimately best option for a cost effective and long run printer.
so at the end i am going with CANON LB2900 as it is long lasting and made from Japan.
Previously i have a canon inkjet ip1300 .that has been working for 10years .trust me.
So Canon is a good choice.hp may have more service centers than canon,but what if u cant get the service out of that.
Nothing is more than costomer satisfaction.

So u may try canon inkjets.but i personally recommend always go for canon specially laser printers."
J.Nandhini,Reviewed in India on 13 September 2022,I like the printer so much but 50page capacity
Major singh,Reviewed in India on 2 April 2023,Like
Agalya,Reviewed in India on 26 September 2022,சுமார்
Mohit,Reviewed in India on 26 May 2023,Don't Buy This Model Purely Weste Of Money in the Product
Jatin Dhama,Reviewed in India on 21 June 2022,print quality is good but if you are searching of a printer for office use it not made for you because it has too much ink cunsuption i suggest you to buy a printer with inktank you may need to buy some expensive but you will worth of it
Shabnam nisha,Reviewed in India on 10 July 2022,Printer is actually pretty good prints good quality images but cartridges are very expensive for it and so it's not ideal for printing many pages at once as it will add up the cost
Amazon Customer,Reviewed in India on 5 October 2022," One dislike is too much of time taken to get start printing, I'm using it for personal use at home"
Raja Velagaleti,Reviewed in India on 15 March 2023,I bought this two days back and when I try to connect to my mac and it’s not working. I called the tech support and Nancy person called me . She is useless not suitable for tech support. She blindly saying for compatibility issues we cannot replace or return. Please don’t buy this and don't stuck with tech support like Nancy and everything will be in vein.
Sharad Yadav,Reviewed in India on 21 August 2022,PLEASE CARE FULL IF PRODUCT ARE RECIEVE [] PLEASE CHECK SEALD OF CARTRIDGE AND DEVICE ARE DELIVERED[]
Ashok kr,Reviewed in India on 30 January 2018,"First of all, hats off to amazon for delivering the printer 5 days before the expected date. So, no complaints about that.

About printer, it looks stylish. It is very compact. Looks great in white color. This is my first printer and I bought it for home use. It serves the purpose very well. The installation is very easy. It works like charm. The hp software is very idiotic. It says connect the printer, even after taking prints from Microsoft Word, scanning from the 'Devices and Printers' options in control panel. It worked means the pc recognizes it, but the idiotic hp software doesn't recognize it. But you can always get your job done from control panel, so I don't care about it now. The controls are very intuitive. So, go for it if your main purpose is for home use.

I wish I could end up here, but unfortunately NO! It uses HP 803 cartridge. And it is too expensive being tri-color at 949/- and black at 799/- !! The page yield for tri-color is ~165 pages and for black it is ~190 pages. It will empty your pockets like nothing!
I'm thinking to refill the cartridge instead of buying a new one.

So, final verdict. If you are ready to spend this much amount of money on cartridges, then surely go for it. Otherwise, go for 2135 Ink Advantage. I wish I would be known about this at the time of buying. 5 stars for printer and 3 stars for cartridge."
JOHN KIRAN,Reviewed in India on 25 November 2021,"*You can't get a good size print as it automatically crops the bottom part of your page while printing an A4 size sheet.
*Ink cartridge gets depleated very fast and costs 800rs each (needs to be changed once a month)
*Always requires a connection to the HP smart app, which does not function if either colour or black cartridge gets low.
*I reccomend to buy a more expensive printer, as the experience will be better and you can save money on ink."
Prakash Singh,Reviewed in India on 21 March 2023,Amazing product! Absolutely worth it ! Quality is excellent!
Sagar Kumar,Reviewed in India on 11 September 2022,Bad
Md Selim Jahangir,Reviewed in India on 22 August 2022,On an average after 10 print cartridge needs to refilled with ink again. Thats frustrating.
Amit,Reviewed in India on 9 August 2020,"I was looking for scanner and printer for home usage (for occasional printing). I decided the hp 2131 which was coasting around 3100 but shortly it became out of stock. So I went for this one and it costed me 3300 on freedom sale.

Prints are clear and also the scanning quality is good I scanned my brother's college id card it was clear . Speed is also good and it is quite light

I will post full review after more testing."
Kln.Prasad a.,Reviewed in India on 28 October 2022,All good
Chandan Kumar,Reviewed in India on 5 June 2022," Ink finished very soon I want exchange it,if I want print 5 copy only copy print ok there after all page fade.after some time print one page print ok."
Shilpa Roy,Reviewed in India on 17 April 2022,"Not the bestest of quality out there, but the cheapest. It serves the purpose of printing documents, if that's all you are looking for. Scanner is not that great, scanned with phone camera is of better quality I felt. It connects and prints with phone over otg with hp software."
Ashwin,Reviewed in India on 15 April 2022,"Intial investment is low but running cost is high due to ink. For rare use go for it. Scanner dont give correct resolution even at max.
Best is you can use it as network printer if you have usb in router but again low utilization this is not right feature."
Lalchhanchhuaha Jahau,Reviewed in India on 25 September 2022,"Easy to use and it serves the purpose, but I only print once or twice a week..."
Bambhniya Rahul,Reviewed in India on 27 May 2023,This is a bad thing no one takes
A Francis,Reviewed in India on 17 November 2022,Printer cost is low but cartridge cost very high 60 page print out only Cartridge ink refiling not advisable from technician don t by this type printer pleas by ink refiling type printer don t wast your money and time
Anish Samant,Reviewed in India on 15 June 2017,"Just saw that many people are thinking to buy this product as it's price is really low. But if u are buying this for everyday usage, its a sincere advice from me to not go for this printer as the cartridge is very expensive and also dries up very soon. The black one costs around ₹800 and colour is around ₹1000. Refiling the cartridge is not a solution as u lose it printer warranty and also print quality is horrible. If u are buying a printer for everyday usage, it's better to go for ""INK ADVANTAGE PRINTER"" from HP or else Ink Tank printers are best option as u can directly put the ink in them and it is very cheap.
But talking about the print quality, it is a good printer when used with genuine HP cartridge and u can also use it for photo prints. But u cannot print both sides at once and u need to manually rotate the paper in order to do so
That's all about the printer...hit the helpful button if u are satisfied with my review..."
Laxman K.,Reviewed in India on 21 October 2022,Ink problem
Yasir,Reviewed in India on 1 May 2022,"It gets very high costly after the long time becoz the cartridges which are used instead ink have high price .... We can refill Cartridges only 2 or 3 times after that they damaged and must to change these cartridges otherwise we can't print.... I recommend inktank printers instead inkjet ... Becoz all inkjet gets costly after long time but inktank printers not get costly after long time.... Inktank printers get costly only first time ... After that ink is very low in price ....
At last i recommend you for inktank printers...."
